Timestamp,Temperature_Celsius,Relative_Humidity,Date,Season,Wind,ApparentTemperature
2021-01-27 00:00:00,21.0,55.0,2021-01-27 00:00:00,winter,0.15,23.9
2021-01-27 06:00:00,21.0,53.0,2021-01-27 06:00:00,winter,0.15,23.7
2021-01-27 12:00:00,22.0,44.0,2021-01-27 12:00:00,winter,0.15,24.2
2021-01-27 18:00:00,24.0,34.0,2021-01-27 18:00:00,winter,0.15,25.6
2021-01-28 00:00:00,21.0,33.0,2021-01-28 00:00:00,winter,0.15,21.9
2021-01-28 06:00:00,20.0,32.0,2021-01-28 06:00:00,winter,0.15,20.6
2021-01-28 12:00:00,20.0,34.0,2021-01-28 12:00:00,winter,0.15,20.8
2021-01-28 18:00:00,21.0,37.0,2021-01-28 18:00:00,winter,0.15,22.3
2021-01-29 00:00:00,21.0,39.0,2021-01-29 00:00:00,winter,0.15,22.4
2021-01-29 06:00:00,23.0,34.0,2021-01-29 06:00:00,winter,0.15,24.4
2021-01-29 12:00:00,23.0,39.0,2021-01-29 12:00:00,winter,0.15,24.9
2021-01-29 18:00:00,23.0,41.0,2021-01-29 18:00:00,winter,0.15,25.1
2021-01-30 00:00:00,21.0,39.0,2021-01-30 00:00:00,winter,0.15,22.4
2021-01-30 06:00:00,22.0,36.0,2021-01-30 06:00:00,winter,0.15,23.4
2021-01-30 12:00:00,23.0,37.0,2021-01-30 12:00:00,winter,0.15,24.7
2021-01-30 18:00:00,23.0,36.0,2021-01-30 18:00:00,winter,0.15,24.6
2021-01-31 00:00:00,22.0,37.0,2021-01-31 00:00:00,winter,0.15,23.5
2021-01-31 06:00:00,21.0,36.0,2021-01-31 06:00:00,winter,0.15,22.2
2021-01-31 12:00:00,22.0,31.0,2021-01-31 12:00:00,winter,0.15,22.9
2021-01-31 18:00:00,23.0,34.0,2021-01-31 18:00:00,winter,0.15,24.4
2021-02-01 00:00:00,23.0,40.0,2021-02-01 00:00:00,winter,0.15,25.0
2021-02-01 06:00:00,24.0,33.0,2021-02-01 06:00:00,winter,0.15,25.5
2021-02-01 12:00:00,24.0,34.0,2021-02-01 12:00:00,winter,0.15,25.6
2021-02-01 18:00:00,24.0,35.0,2021-02-01 18:00:00,winter,0.15,25.7
2021-02-02 00:00:00,20.0,42.0,2021-02-02 00:00:00,winter,0.15,21.5
2021-02-02 06:00:00,21.0,44.0,2021-02-02 06:00:00,winter,0.15,22.9
2021-02-02 12:00:00,24.0,36.0,2021-02-02 12:00:00,winter,0.15,25.8
2021-02-02 18:00:00,21.0,37.0,2021-02-02 18:00:00,winter,0.15,22.3
2021-02-03 00:00:00,20.0,34.0,2021-02-03 00:00:00,winter,0.15,20.8
2021-02-03 06:00:00,23.0,32.0,2021-02-03 06:00:00,winter,0.15,24.2
2021-02-03 12:00:00,24.0,33.0,2021-02-03 12:00:00,winter,0.15,25.5
2021-02-03 18:00:00,23.0,42.0,2021-02-03 18:00:00,winter,0.15,25.2
2021-02-04 00:00:00,20.0,43.0,2021-02-04 00:00:00,winter,0.15,21.6
2021-02-04 06:00:00,23.0,37.0,2021-02-04 06:00:00,winter,0.15,24.7
2021-02-04 12:00:00,23.0,32.0,2021-02-04 12:00:00,winter,0.15,24.2
2021-02-04 18:00:00,21.0,31.0,2021-02-04 18:00:00,winter,0.15,21.7
2021-02-05 00:00:00,20.0,35.0,2021-02-05 00:00:00,winter,0.15,20.9
2021-02-05 06:00:00,19.0,38.0,2021-02-05 06:00:00,winter,0.15,19.9
2021-02-05 12:00:00,24.0,33.0,2021-02-05 12:00:00,winter,0.15,25.5
2021-02-05 18:00:00,24.0,35.0,2021-02-05 18:00:00,winter,0.15,25.7
2021-02-06 00:00:00,22.0,40.0,2021-02-06 00:00:00,winter,0.15,23.8
2021-02-06 06:00:00,20.0,37.0,2021-02-06 06:00:00,winter,0.15,21.1
2021-02-06 12:00:00,23.0,36.0,2021-02-06 12:00:00,winter,0.15,24.6
2021-02-06 18:00:00,24.0,40.0,2021-02-06 18:00:00,winter,0.15,26.3
2021-02-07 00:00:00,23.0,38.0,2021-02-07 00:00:00,winter,0.15,24.8
2021-02-07 06:00:00,21.0,37.0,2021-02-07 06:00:00,winter,0.15,22.3
2021-02-07 12:00:00,23.0,43.0,2021-02-07 12:00:00,winter,0.15,25.3
